name,survived
"Allen, Miss. Elisabeth Walton",True
"Allison, Master. Hudson Trevor",True
"Allison, Miss. Helen Loraine",False
"Allison, Mr. Hudson Joshua Creighton",False
"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",False
"Anderson, Mr. Harry",True
"Andrews, Miss. Kornelia Theodosia",True
"Andrews, Mr. Thomas Jr",False
"Appleton, Mrs. Edward Dale (Charlotte Lamson)",True
"Artagaveytia, Mr. Ramon",False
"Astor, Col. John Jacob",False
"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",True
"Aubart, Mme. Leontine Pauline",True
"Barber, Miss. Ellen 'Nellie'",True
"Barkworth, Mr. Algernon Henry Wilson",True
"Baumann, Mr. John D",False
"Baxter, Mr. Quigg Edmond",False
"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",True
"Bazzani, Miss. Albina",True
"Beattie, Mr. Thomson",False
"Beckwith, Mr. Richard Leonard",True
"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",True
"Behr, Mr. Karl Howell",True
"Bidois, Miss. Rosalie",True
"Bird, Miss. Ellen",True
"Birnbaum, Mr. Jakob",False
"Bishop, Mr. Dickinson H",True
"Bishop, Mrs. Dickinson H (Helen Walton)",True
"Bissette, Miss. Amelia",True
"Bjornstrom-Steffansson, Mr. Mauritz Hakan",True
"Blackwell, Mr. Stephen Weart",False
"Blank, Mr. Henry",True
"Bonnell, Miss. Caroline",True
"Bonnell, Miss. Elizabeth",True
"Borebank, Mr. John James",False
"Bowen, Miss. Grace Scott",True
"Bowerman, Miss. Elsie Edith",True
"Bradley, Mr. George ('George Arthur Brayton')",True
"Brady, Mr. John Bertram",False
"Brandeis, Mr. Emil",False
"Brewe, Dr. Arthur Jackson",False
"Brown, Mrs. James Joseph (Margaret Tobin)",True
"Brown, Mrs. John Murray (Caroline Lane Lamson)",True
"Bucknell, Mrs. William Robert (Emma Eliza Ward)",True
"Burns, Miss. Elizabeth Margaret",True
"Butt, Major. Archibald Willingham",False
"Cairns, Mr. Alexander",False
"Calderhead, Mr. Edward Pennington",True
"Candee, Mrs. Edward (Helen Churchill Hungerford)",True
"Cardeza, Mr. Thomas Drake Martinez",True
"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",True
"Carlsson, Mr. Frans Olof",False
"Carrau, Mr. Francisco M",False
"Carrau, Mr. Jose Pedro",False
"Carter, Master. William Thornton II",True
"Carter, Miss. Lucile Polk",True
"Carter, Mr. William Ernest",True
"Carter, Mrs. William Ernest (Lucile Polk)",True
"Case, Mr. Howard Brown",False
"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",True
"Cavendish, Mr. Tyrell William",False
"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",True
"Chaffee, Mr. Herbert Fuller",False
"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",True
"Chambers, Mr. Norman Campbell",True
"Chambers, Mrs. Norman Campbell (Bertha Griggs)",True
"Chaudanson, Miss. Victorine",True
"Cherry, Miss. Gladys",True
"Chevre, Mr. Paul Romaine",True
"Chibnall, Mrs. (Edith Martha Bowerman)",True
"Chisholm, Mr. Roderick Robert Crispin",False
"Clark, Mr. Walter Miller",False
"Clark, Mrs. Walter Miller (Virginia McDowell)",True
"Cleaver, Miss. Alice",True
"Clifford, Mr. George Quincy",False
"Colley, Mr. Edward Pomeroy",False
"Compton, Miss. Sara Rebecca",True
"Compton, Mr. Alexander Taylor Jr",False
"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",True
"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",True
"Crafton, Mr. John Bertram",False
"Crosby, Capt. Edward Gifford",False
"Crosby, Miss. Harriet R",True
"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",True
"Cumings, Mr. John Bradley",False
"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",True
"Daly, Mr. Peter Denis",True
"Daniel, Mr. Robert Williams",True
"Daniels, Miss. Sarah",True
"Davidson, Mr. Thornton",False
"Davidson, Mrs. Thornton (Orian Hays)",True
"Dick, Mr. Albert Adrian",True
"Dick, Mrs. Albert Adrian (Vera Gillespie)",True
